Item #,Product/Trade Name,Manufacturer,Mfr Emergency Phone,Primary CAS #,Additional CAS #s,Chemical Name(s),Physical State,Container Size,GHS Pictogram Codes,Signal Word,GHS Hazard Category,NFPA Health,NFPA Fire,NFPA Reactivity,NFPA Special,Flash Point (°F),pH,Cal/OSHA PEL,ACGIH TLV,IDLH,EPCRA 302 EHS,TPQ (lbs),EPCRA 311/312 Threshold,CERCLA RQ (lbs),EPCRA 313 TRI,Prop 65 Listed,RCRA Waste Codes,CA Haz Waste,Storage Compatibility,Incompatible Materials,Secondary Containment,PPE Required,SDS Link,SDS Rev Date,RoHS Compliant,REACH SVHC,Notes/Flags
63,Spray Adhesive Heavy Duty,Gorilla Glue,1-800-966-3458,MIXTURE,"142-82-5, 75-37-6","n-Heptane, Difluoroethane",Liquid/Aerosol,14 oz,"GHS02, GHS07, GHS08",Danger,"Flam. Aerosol 1, Asp. Tox. 1",2,4,0,,-4,,400 ppm (heptane),400 ppm,,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,No,Multi-surface spray adhesive
64,Contact Adhesive Ultimate,Gorilla Glue,1-800-966-3458,MIXTURE,"64742-89-8, 108-88-3","Solvent naphtha, Toluene",Liquid/Aerosol,12.2 oz,"GHS02, GHS07, GHS08",Danger,"Flam. Aerosol 1, Asp. Tox. 1, Repr. 2",2,3,0,,40,,50 ppm (toluene),20 ppm,500 ppm,No,,"10,000",,No,REPRO (toluene),,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,Verify,⚠️ Contains toluene - Prop 65 reproductive toxicant
65,271 Threadlocker Red (High Strength),Loctite/Henkel,1-800-255-3924,MIXTURE,PROPRIETARY,"Dimethacrylate ester, Cumene hydroperoxide",Liquid,10 mL,GHS07,Warning,"Eye Irrit. 2, Skin Sens. 1",2,1,0,,>200,,,,,No,,"10,000",,No,No,,No,General,"Copper, brass (accelerate cure)",No,"Safety glasses, gloves",,,Yes,No,Permanent high-strength threadlocker
66,Isopropyl Alcohol 99% (HPLC-UV Grade),Pharmco,1-800-424-9300,67-63-0,,Isopropyl alcohol,Liquid,1 gallon,"GHS02, GHS07",Danger,"Flam. Liq. 2, Eye Irrit. 2, STOT SE 3",1,3,0,,53,,400 ppm,200 ppm,2000 ppm,No,,"10,000",,No,No,,No,Flammable,"Strong oxidizers, strong acids",Yes,"Safety glasses, gloves, ventilation",,,Yes,No,High purity HPLC grade
67,Acetone,Klean-Strip,1-800-398-3892,67-64-1,,Acetone,Liquid,can,"GHS02, GHS07",Danger,"Flam. Liq. 2, Eye Irrit. 2, STOT SE 3",1,3,0,,-4,,750 ppm,500 ppm,2500 ppm,No,,"10,000",,No,No,,No,Flammable,"Strong oxidizers, strong acids/bases",Yes,"Safety glasses, gloves, ventilation",,,Yes,No,Pure solvent for cleaning/thinning
68,Isopropanol 99% (Technical Grade),Generic,,67-63-0,,Isopropyl alcohol,Liquid,1 gallon,"GHS02, GHS07",Danger,"Flam. Liq. 2, Eye Irrit. 2, STOT SE 3",1,3,0,,53,,400 ppm,200 ppm,2000 ppm,No,,"10,000",,No,No,,No,Flammable,"Strong oxidizers, strong acids",Yes,"Safety glasses, gloves, ventilation",,,Yes,No,Technical grade solvent
69,Charcoal Lighter Fluid,Kingsford,1-800-232-4745,MIXTURE,64742-47-8,Petroleum distillates,Liquid,64 fl oz,"GHS02, GHS08",Danger,"Flam. Liq. 3, Asp. Tox. 1",1,2,0,,105,,100 ppm,100 ppm,,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves",,,Yes,No,Odorless charcoal starter
70,70% Isopropyl Alcohol,Equate,,67-63-0,,"Isopropyl alcohol, Water",Liquid,bottle,"GHS02, GHS07",Warning,"Flam. Liq. 3, Eye Irrit. 2",1,2,0,,53,,400 ppm,200 ppm,2000 ppm,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,Safety glasses,,,Yes,No,Consumer grade rubbing alcohol
71,Great Stuff Gaps & Cracks Foam Sealant,Great Stuff/Dow,1-800-424-9300,MIXTURE,"9016-87-9, 75-37-6","Polymeric MDI, Difluoroethane",Foam/Aerosol,aerosol,"GHS02, GHS07, GHS08",Danger,"Flam. Aerosol 1, Resp. Sens. 1, Skin Sens. 1",2,3,1,,<0,,0.005 ppm (MDI),0.005 ppm,,No,,"10,000",,No,No,,No,Flammable/Reactive,Water (cures/reacts),Yes,"Safety glasses, gloves, ventilation, respirator if spraying",,,Yes,No,Expanding polyurethane foam - MDI sensitizer
72,White Lithium Grease,Liquid Wrench,1-800-241-7376,MIXTURE,"64742-47-8, 7620-77-1","Petroleum distillates, Lithium soap",Semi-solid/Aerosol,aerosol,"GHS02, GHS08",Danger,"Flam. Aerosol 1, Asp. Tox. 1",1,3,0,,-4,,100 ppm,100 ppm,,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, ventilation",,,Yes,No,Heavy-duty aerosol grease
73,Concrete Saver 5600 Acrylic Urethane Floor Paint,Rust-Oleum,1-800-323-3584,MIXTURE,"67-64-1, 1330-20-7","Acetone, Xylene, Acrylic urethane",Liquid,1 gallon,"GHS02, GHS07, GHS08",Danger,"Flam. Liq. 2, STOT SE 3, Asp. Tox. 1",2,3,0,,-4,,750 ppm (acetone),500 ppm,2500 ppm,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation, respirator",,,Yes,No,Industrial floor coating - Safety Yellow
74,WD-40 Multi-Use Product (Original),WD-40 Company,1-888-324-7596,MIXTURE,"64742-47-8, 64742-65-0",Petroleum distillates (light & heavy),Liquid/Aerosol,aerosol,"GHS02, GHS08",Danger,"Flam. Aerosol 1, Asp. Tox. 1",1,3,0,,-4,,100 ppm,100 ppm,,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, ventilation",,,Yes,No,Multi-purpose lubricant/penetrant/protectant
75,No Hunting Purple Marking Paint,Krylon,1-800-457-9566,MIXTURE,"67-64-1, 64742-89-8","Acetone, Solvent naphtha",Liquid/Aerosol,12 oz,"GHS02, GHS07",Danger,"Flam. Aerosol 1, STOT SE 3",2,4,0,,-4,,750 ppm (acetone),500 ppm,2500 ppm,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,No,Boundary/property marking paint
76,345 Premixed Floor Patch,Henry,1-800-232-4832,MIXTURE,"14808-60-7, 65997-15-1","Crystalline silica, Portland cement",Semi-solid,bucket,"GHS07, GHS08",Warning,"Skin Irrit. 2, Eye Irrit. 2, Carc. 1A (dust)",2,0,0,,N/A,12-13,0.025 mg/m³ (silica),0.025 mg/m³,25 mg/m³,No,,"10,000",,No,CARCINOGEN (silica dust),,No,Alkaline,"Acids, aluminum",No,"Safety glasses, gloves, dust mask if generating dust",,,Yes,No,⚠️ Contains crystalline silica - carcinogen if inhaled as dust
77,Bulls Eye 1-2-3 Primer,Zinsser,1-800-321-7378,MIXTURE,"64742-88-7, 1330-20-7","Solvent naphtha, Xylene",Liquid,5 gallon,"GHS02, GHS07, GHS08",Danger,"Flam. Liq. 3, STOT SE 3, Asp. Tox. 1",2,2,0,,45,,100 ppm (xylene),100 ppm,900 ppm,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,No,Universal primer-sealer
78,Multi-Pro Interior Paint,PPG,1-800-441-9695,MIXTURE,13463-67-7,"Titanium dioxide, Latex polymer",Liquid,5 gallon,,,Not classified,1,0,0,,N/A,8-9,10 mg/m³ (TiO2),10 mg/m³,,No,,"10,000",,No,No,,No,General,Strong oxidizers,No,"Safety glasses, gloves",,,Yes,No,Professional latex interior paint
